entity	file	value	xpath	attributes	attribute_values
manuscripts	1033.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1033.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1033.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1034.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1034.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1034.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1034.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1035.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1035.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1035.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1035.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1036.xml	after 1000	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1036.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1036.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1036.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1037.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1037.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1037.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1037.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1038.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1038.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1038.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1038.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1039.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1039.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1039.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1039.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	104.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	104.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	104.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	104.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1040.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1040.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1040.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1040.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1041.xml	1000-1200?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1041.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1041.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1041.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1042.xml	1000-1100	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1042.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1042.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1042.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1043.xml	1000-1100	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1043.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1043.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1043.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1044.xml	1000-1100	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1044.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1044.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1044.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1045.xml	1000-1200?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
