host_ms	file	bibl_xml_id	bibl_xpath	bibl_xpath_readable	ref_ms	action	changed	reason	n_before	n_after	citedRanges_before	citedRanges_after
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[6]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1488	skipped	no	referenced ms 1488 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[7]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1492	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""6v"">1r–6v</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[8]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1477	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""24v"">1r–24v</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[9]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	587	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""6v"">1r–6v</citedRange>"
1479	data/manuscripts/tei/1479.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[10]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	608	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""46v"">1r–46v</citedRange>"
148	data/manuscripts/tei/148.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	189	skipped	no	referenced ms 189 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
148	data/manuscripts/tei/148.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	191	skipped	no	referenced ms 191 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
148	data/manuscripts/tei/148.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	181	skipped	no	referenced ms 181 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
148	data/manuscripts/tei/148.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	190	skipped	no	referenced ms 190 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
148	data/manuscripts/tei/148.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	196	skipped	no	referenced ms 196 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
1480	data/manuscripts/tei/1480.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1501	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""1v"">1r–1v</citedRange>"
1480	data/manuscripts/tei/1480.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1489	skipped	no	referenced ms 1489 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"
1480	data/manuscripts/tei/1480.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1474	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""6v"">1r–6v</citedRange>"
1480	data/manuscripts/tei/1480.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	555	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""19v"">1r–19v</citedRange>"
1481	data/manuscripts/tei/1481.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1484	skipped	no	referenced ms 1484 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"
1481	data/manuscripts/tei/1481.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1491	skipped	no	referenced ms 1491 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios""/>"
1484	data/manuscripts/tei/1484.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1491	skipped	no	referenced ms 1491 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""""/>"
1484	data/manuscripts/tei/1484.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1481	regenerated	yes	removed all citedRanges, regenerated from referenced loci	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios""/>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""3v"">1r–3v</citedRange>"
1488	data/manuscripts/tei/1488.xml	jalit-orgmanuscript377	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	377	skipped	no	referenced ms 377 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	1	1	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"">56-65</citedRange>"	"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"">56-65</citedRange>"
