host_ms	bibl_xml_id	bibl_xpath_readable	ref_ms	target	ref_resolvable	would_add	would_remove	would_keep	severity	issues
303		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	216	https://jalit.org/manuscript/216	yes	0	0	0	INFO	REF_NO_LOCI
304		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	96	https://jalit.org/manuscript/96	yes	0	0	0	INFO	REF_NO_LOCI
304		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	81	https://jalit.org/manuscript/81	yes	0	0	0	INFO	REF_NO_LOCI
305		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	308	https://jalit.org/manuscript/308	yes	1	0	0	OK	
305		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	306	https://jalit.org/manuscript/306	yes	2	0	0	INFO	MULTI_ITEM_REF
306	jalit-orgmanuscript305	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	305	https://jalit.org/manuscript/305	yes	1	0	0	OK	
306	jalit-orgmanuscript308	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	308	https://jalit.org/manuscript/308	yes	1	0	0	OK	
307	jalit-orgmanuscript424	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	424	https://jalit.org/manuscript/424	yes	0	0	0	INFO	REF_NO_LOCI
307	jalit-orgmanuscript426	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	426	https://jalit.org/manuscript/426	yes	0	0	0	INFO	REF_NO_LOCI
307	jalit-orgmanuscript519	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	519	https://jalit.org/manuscript/519	yes	1	0	0	OK	
307	jalit-orgmanuscript315	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	315	https://jalit.org/manuscript/315	yes	1	0	0	OK	
308		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	306	https://jalit.org/manuscript/306	yes	2	0	0	INFO	MULTI_ITEM_REF
308		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	305	https://jalit.org/manuscript/305	yes	1	0	0	OK	
311	jalit-orgmanuscript1578	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1578	https://jalit.org/manuscript/1578	yes	1	0	0	OK	
311	jalit-orgmanuscript1577	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1577	https://jalit.org/manuscript/1577	yes	1	0	0	OK	
311	jalit-orgmanuscript1576	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1576	https://jalit.org/manuscript/1576	yes	1	0	0	OK	
311	jalit-orgmanuscript1575	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1575	https://jalit.org/manuscript/1575	yes	1	0	0	OK	
311	jalit-orgmanuscript313	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	313	https://jalit.org/manuscript/313	yes	1	0	0	OK	
311	jalit-orgmanuscript345	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	345	https://jalit.org/manuscript/345	yes	1	0	0	OK	
311	jalit-orgmanuscript360	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	360	https://jalit.org/manuscript/360	yes	1	0	0	OK	
313	jalit-orgmanuscript1578	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1578	https://jalit.org/manuscript/1578	yes	1	0	0	OK	
313	jalit-orgmanuscript1577	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1577	https://jalit.org/manuscript/1577	yes	1	0	0	OK	
313	jalit-orgmanuscript1576	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1576	https://jalit.org/manuscript/1576	yes	1	0	0	OK	
